Year,Geo_Level,State_ANSI,Commodity_ID,Value
2014,STATE,36,2,3300000.00
2014,STATE,37,2,516000.00
2014,STATE,38,2,42140000.00
2014,STATE,39,2,915000.00
2014,STATE,41,2,2840000.00
2014,STATE,,2,1404000.00
2014,STATE,42,2,782000.00
2014,STATE,45,2,486000.00
2014,STATE,46,2,24360000.00
2014,STATE,47,2,441000.00
2014,STATE,48,2,9048000.00
2014,STATE,49,2,812000.00
2014,STATE,50,2,232000.00
2014,STATE,51,2,228000.00
2014,STATE,53,2,2992000.00
2014,STATE,54,2,186000.00
2014,STATE,55,2,2862000.00
2014,STATE,56,2,2318000.00
2013,STATE,1,2,364000.00
2013,STATE,4,2,1044000.00
2013,STATE,5,2,1320000.00
2013,STATE,6,2,10890000.00
2013,STATE,8,2,1118000.00
2013,STATE,12,2,13420000.00
2013,STATE,13,2,3350000.00
2013,STATE,15,2,1079000.00
2013,STATE,16,2,2656000.00
2013,STATE,17,2,336000.00
2013,STATE,18,2,282000.00
2013,STATE,19,2,1872000.00
2013,STATE,20,2,276000.00
2013,STATE,21,2,123000.00
2013,STATE,22,2,4900000.00
2013,STATE,23,2,301000.00
2013,STATE,26,2,4675000.00
2013,STATE,27,2,7540000.00
2013,STATE,28,2,1972000.00
2013,STATE,29,2,470000.00
2013,STATE,30,2,14946000.00
2013,STATE,31,2,2760000.00
2013,STATE,34,2,484000.00
2013,STATE,36,2,2640000.00
2013,STATE,37,2,380000.00
2013,STATE,38,2,33120000.00
2013,STATE,39,2,765000.00
2013,STATE,41,2,2170000.00
2013,STATE,,2,1295000.00
2013,STATE,42,2,585000.00
2013,STATE,46,2,14840000.00
2013,STATE,47,2,315000.00
2013,STATE,48,2,6254000.00
2013,STATE,49,2,1020000.00
2013,STATE,50,2,204000.00
2013,STATE,51,2,175000.00
2013,STATE,53,2,2691000.00
2013,STATE,54,2,276000.00
2013,STATE,55,2,3540000.00
2013,STATE,56,2,3102000.00
2012,STATE,1,2,432000.00
2012,STATE,4,2,1012000.00
2012,STATE,5,2,1575000.00
2012,STATE,6,2,11550000.00
2012,STATE,8,2,1200000.00
2012,STATE,12,2,12352000.00
2012,STATE,13,2,3009000.00
2012,STATE,15,2,750000.00
2012,STATE,16,2,2944000.00
2012,STATE,17,2,427000.00
2012,STATE,18,2,472000.00
2012,STATE,19,2,2257000.00
2012,STATE,20,2,330000.00
2012,STATE,21,2,255000.00
2012,STATE,22,2,3526000.00
2012,STATE,23,2,136000.00
2012,STATE,26,2,4161000.00
2012,STATE,27,2,8375000.00
2012,STATE,28,2,2124000.00
2012,STATE,29,2,371000.00
2012,STATE,30,2,7540000.00
2012,STATE,31,2,2795000.00
2012,STATE,34,2,462000.00
2012,STATE,35,2,260000.00
2012,STATE,36,2,2601000.00
2012,STATE,37,2,507000.00
2012,STATE,38,2,33120000.00
2012,STATE,39,2,1080000.00
2012,STATE,41,2,1920000.00
2012,STATE,,2,1389000.00
2012,STATE,42,2,960000.00
2012,STATE,46,2,16380000.00
2012,STATE,47,2,366000.00
2012,STATE,48,2,4784000.00
2012,STATE,49,2,950000.00
2012,STATE,50,2,240000.00
2012,STATE,51,2,164000.00
2012,STATE,53,2,2542000.00
2012,STATE,54,2,288000.00
2012,STATE,55,2,4140000.00
2012,STATE,56,2,2550000.00
2011,STATE,1,2,450000.00
2011,STATE,4,2,1219000.00
2011,STATE,5,2,1408000.00
2011,STATE,6,2,17760000.00
2011,STATE,8,2,1705000.00
2011,STATE,12,2,10980000.00
2011,STATE,13,2,2795000.00
2011,STATE,15,2,666000.00
2011,STATE,16,2,3132000.00
2011,STATE,17,2,350000.00
2011,STATE,18,2,408000.00
2011,STATE,19,2,1550000.00
2011,STATE,20,2,308000.00
2011,STATE,21,2,156000.00
2011,STATE,22,2,2772000.00
2011,STATE,23,2,120000.00
2011,STATE,26,2,4736000.00
2011,STATE,27,2,6360000.00
2011,STATE,28,2,2070000.00
2011,STATE,29,2,344000.00
2011,STATE,30,2,13340000.00
2011,STATE,31,2,2419000.00
2011,STATE,34,2,451000.00
2011,STATE,35,2,392000.00
2011,STATE,36,2,2744000.00
2011,STATE,37,2,868000.00
2011,STATE,38,2,32660000.00
2011,STATE,39,2,990000.00
2011,STATE,41,2,2040000.00
2011,STATE,,2,1156000.00
2011,STATE,42,2,1056000.00
2011,STATE,46,2,16500000.00
2011,STATE,47,2,308000.00
